,Location,Company_Revenue,python,sql,machine learning,r,hadoop
144,MN,$1B to $5B (USD),0,0,1,0,0
145,TX,None Listed,0,0,0,0,0
146,CO,None Listed,1,0,0,1,0
147,USA,More than $10B (USD),0,0,1,0,0
148,FL,$1B to $5B (USD),0,1,1,1,0
149,TX,More than $10B (USD),0,0,1,0,0
150,NE,$1B to $5B (USD),1,1,1,1,0
151,TX,None Listed,0,0,0,1,0
152,MN,Less than $1B (USD),0,0,0,0,0
153,GA,$5B to $10B (USD),0,1,0,0,0
154,VA,None Listed,1,1,0,1,0
155,CA,More than $10B (USD),1,1,1,1,0
156,VA,None Listed,1,0,1,1,1
157,MA,None Listed,0,0,1,1,0
158,CA,More than $10B (USD),1,0,1,1,0
159,NC,Less than $1B (USD),1,1,1,1,0
160,CO,None Listed,1,1,1,1,1
161,WI,None Listed,1,1,1,0,0
162,USA,None Listed,1,1,1,1,0
163,MD,None Listed,1,0,1,1,0
164,CA,None Listed,1,1,1,1,0
165,NM,None Listed,0,0,0,1,0
166,GA,Less than $1B (USD),1,0,1,0,0
167,GA,$5B to $10B (USD),0,1,0,0,0
168,TX,More than $10B (USD),1,0,1,0,0
169,TX,More than $10B (USD),0,0,0,0,0
170,FL,More than $10B (USD),1,1,1,1,1
171,AZ,None Listed,1,1,0,1,0
172,MI,None Listed,1,0,1,1,0
173,AZ,Less than $1B (USD),1,0,1,1,0
174,OH,$1B to $5B (USD),0,1,0,1,0
175,VA,None Listed,0,0,0,0,0
176,CO,None Listed,1,1,0,1,0
177,CO,None Listed,1,1,0,1,0
178,NC,$1B to $5B (USD),1,0,1,1,0
179,NY,More than $10B (USD),0,0,1,0,1
180,GA,Less than $1B (USD),1,0,1,0,0
181,CA,None Listed,0,0,1,0,0
182,OH,None Listed,1,1,0,1,0
183,OH,None Listed,1,1,0,1,0
184,TX,None Listed,1,1,1,1,1
185,VA,None Listed,0,0,0,0,0
186,GA,None Listed,1,1,1,0,0
187,TX,None Listed,1,1,1,1,0
188,VA,$1B to $5B (USD),1,1,1,1,1
189,IN,More than $10B (USD),1,0,1,1,0
190,IN,More than $10B (USD),1,0,1,1,0
191,IN,More than $10B (USD),1,0,1,1,0
192,AR,$5B to $10B (USD),0,0,1,1,0
193,MI,More than $10B (USD),1,1,1,0,1
194,MD,None Listed,0,1,0,1,0
195,TX,Less than $1B (USD),0,0,1,0,0
196,NJ,None Listed,0,0,0,0,0
197,PA,None Listed,1,1,1,0,0
198,CO,None Listed,1,0,0,1,0
199,TN,None Listed,1,1,1,0,0
200,IL,None Listed,1,1,1,0,0
201,AL,None Listed,1,1,0,1,0
202,AL,None Listed,1,1,0,1,0
203,PA,None Listed,1,1,0,1,0
204,CA,Less than $1B (USD),1,1,0,0,0
205,NC,$5B to $10B (USD),1,0,1,1,1
206,MD,More than $10B (USD),1,1,0,1,0
207,IL,$5B to $10B (USD),1,0,0,1,0
208,MD,None Listed,1,1,0,1,0
209,AZ,None Listed,1,0,1,1,0
210,CO,None Listed,1,0,0,0,0
211,CT,More than $10B (USD),1,1,1,1,1
212,CO,None Listed,1,1,0,1,0
213,MD,None Listed,0,0,1,1,0
214,VA,More than $10B (USD),1,1,1,0,0
215,NE,Less than $1B (USD),1,0,1,1,0
216,NV,$1B to $5B (USD),1,1,1,1,0
217,VA,None Listed,1,1,0,1,0
218,MD,None Listed,1,1,1,1,0
219,WA,None Listed,1,1,1,1,0
220,MO,None Listed,1,1,0,1,0
221,CO,None Listed,1,1,1,0,0
222,CO,None Listed,1,1,1,0,0
223,CA,None Listed,0,0,1,0,0
224,AL,None Listed,1,1,0,1,0
225,VA,$5B to $10B (USD),1,1,1,0,1
226,NY,More than $10B (USD),0,0,1,0,0
227,TN,None Listed,0,1,0,0,0
228,AZ,$1B to $5B (USD),1,1,1,1,0
229,GA,None Listed,1,1,1,0,0
230,GA,None Listed,1,1,1,0,0
231,TX,None Listed,1,1,1,0,0
232,MD,None Listed,0,0,1,0,0
233,VA,None Listed,0,0,0,0,0
234,NY,None Listed,1,1,1,0,0
235,NY,None Listed,1,1,0,1,1
236,MA,None Listed,0,0,1,0,0
237,IL,None Listed,1,1,1,0,0
238,DC,None Listed,1,1,1,0,0
239,TX,None Listed,1,1,1,0,0
240,VA,None Listed,1,1,0,1,0
241,NV,More than $10B (USD),1,1,1,1,0
242,CA,None Listed,1,0,1,0,0
243,MA,None Listed,1,0,1,0,0
244,DC,None Listed,1,1,1,0,0
245,PA,None Listed,1,1,1,0,0
246,GA,None Listed,1,1,1,0,0
247,NV,$1B to $5B (USD),1,1,1,1,0
248,MD,None Listed,1,1,1,0,0
249,WA,None Listed,1,1,1,0,0
250,MO,None Listed,1,1,0,1,1
251,CA,None Listed,1,0,1,0,0
252,AZ,None Listed,1,1,1,1,1
253,VA,None Listed,1,1,0,1,0
254,CO,None Listed,1,1,1,0,0
255,VA,None Listed,1,1,1,0,0
256,NY,None Listed,0,0,1,0,0
257,MA,None Listed,1,1,1,1,0
258,CA,$5B to $10B (USD),1,0,1,0,1
259,TN,None Listed,0,0,0,0,0
260,PA,None Listed,1,1,0,1,1
261,GA,None Listed,1,1,1,0,0
262,IL,None Listed,1,1,1,0,0
263,VA,None Listed,0,0,0,0,0
264,CO,None Listed,1,1,1,0,0
265,NY,None Listed,1,1,1,0,0
266,MA,More than $10B (USD),1,1,1,1,0
267,CA,None Listed,1,0,1,0,0
268,TX,None Listed,0,0,1,1,0
269,CA,None Listed,0,0,1,0,0
270,NY,$1B to $5B (USD),0,1,1,0,1
271,MA,None Listed,1,0,1,1,0
272,CA,None Listed,1,0,1,0,0
273,VA,None Listed,1,1,1,1,0
274,MA,None Listed,1,0,1,0,0
275,NY,None Listed,1,1,1,0,0
276,OR,More than $10B (USD),1,0,1,0,0
277,IL,None Listed,1,1,1,0,0
278,CA,$1B to $5B (USD),0,1,0,0,1
279,VA,None Listed,1,1,0,1,1
280,GA,None Listed,1,1,1,0,0
281,FL,None Listed,1,1,1,1,0
282,KS,Less than $1B (USD),1,0,0,0,0
283,CA,More than $10B (USD),1,1,0,1,1
284,MA,None Listed,1,1,1,0,0
285,TX,$1B to $5B (USD),1,0,0,1,0
286,OR,More than $10B (USD),1,0,1,0,0
287,WA,None Listed,1,1,1,1,0
288,MA,None Listed,0,0,0,0,0
289,OR,None Listed,1,1,1,1,0
290,MA,$5B to $10B (USD),0,0,0,0,0
291,TX,None Listed,1,1,1,1,1
292,AZ,None Listed,0,0,0,0,0
293,TX,More than $10B (USD),1,1,1,0,1
294,FL,None Listed,1,1,0,0,1
295,TX,None Listed,1,1,0,1,1
296,MA,None Listed,0,0,1,0,0
297,KS,More than $10B (USD),0,0,0,1,1
298,NJ,None Listed,1,0,0,1,0
299,NJ,None Listed,1,0,0,1,0
300,CA,None Listed,0,0,0,0,0
301,USA,More than $10B (USD),1,0,1,0,0
302,MI,$5B to $10B (USD),1,1,1,1,0
303,IN,None Listed,0,1,0,0,0
