,No_of_Reviews,Company_Industry,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
87,3285.0,Health Care,1,0,0,0,0,0,0,0,0,1,0,0
88,130.0,Government,0,0,0,0,0,0,0,0,0,0,0,1
89,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
90,184.0,Energy and Utilities,0,0,0,0,0,1,0,0,0,0,0,1
91,732.0,Education and Schools,0,0,0,0,0,1,0,0,0,0,0,1
92,27.0,,0,0,0,0,0,0,0,0,0,0,0,0
93,81.0,Banks and Financial Services,0,0,0,0,0,0,0,0,1,0,0,0
94,56.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
95,32.0,Insurance,0,0,0,0,0,1,0,0,0,0,1,0
96,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
97,44.0,,0,0,0,0,0,1,0,0,0,0,0,0
98,1296.0,"Restaurants, Travel and Leisure",0,0,0,0,0,1,0,0,0,0,0,1
99,3947.0,,0,0,0,0,0,1,0,0,0,0,0,0
100,8595.0,Telecommunications,0,1,0,0,0,0,0,0,0,0,0,1
101,0.0,,0,0,0,0,0,1,0,0,0,0,0,0
102,663.0,Education and Schools,0,0,0,0,0,1,0,0,0,0,0,1
103,845.0,Banks and Financial Services,0,0,0,0,0,0,0,0,1,0,0,0
104,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
105,81.0,Consulting and Business Services,1,0,0,0,0,0,1,0,0,0,0,0
106,484.0,Internet and Software,0,0,0,0,0,1,0,1,0,0,0,0
107,2153.0,Banks and Financial Services,0,0,0,0,1,0,0,0,1,0,0,0
108,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
109,649.0,Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,1
110,502.0,Government,0,0,0,1,0,0,0,0,0,0,0,1
111,78.0,Government,0,0,0,0,0,1,0,0,0,0,0,1
112,33.0,"Media, News and Publishing",0,0,0,0,0,1,0,0,0,0,0,1
113,126.0,Education and Schools,0,0,0,0,0,0,0,0,0,0,0,1
114,0.0,,0,0,0,0,0,1,0,0,0,0,0,0
115,2.0,,0,0,0,0,0,0,0,0,0,0,0,0
116,2.0,,0,0,1,0,0,0,0,0,0,0,0,0
117,0.0,,0,0,0,0,0,1,0,0,0,0,0,0
118,23472.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
119,5986.0,Banks and Financial Services,0,0,0,0,0,1,0,0,1,0,0,0
120,9.0,,0,0,0,0,0,0,0,0,0,0,0,0
121,0.0,,0,0,1,0,0,0,0,0,0,0,0,0
122,145.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
123,0.0,,0,0,0,0,0,1,0,0,0,0,0,0
124,0.0,,0,0,0,0,0,1,0,0,0,0,0,0
125,4966.0,Banks and Financial Services,0,0,0,0,0,1,0,0,1,0,0,0
126,157456.0,Retail,0,0,0,0,0,1,0,0,0,0,0,1
127,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
128,262.0,Energy and Utilities,0,0,0,0,0,0,0,0,0,0,0,1
129,1129.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0
130,6.0,,0,1,0,0,0,0,0,0,0,0,0,0
131,18.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
132,2078.0,Industrial Manufacturing,0,0,0,0,0,1,0,0,0,0,0,1
133,2433.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0
134,3947.0,,0,0,0,0,0,1,0,0,0,0,0,0
135,44.0,,0,0,0,0,0,0,0,0,0,0,0,0
136,86.0,,0,0,1,0,0,0,0,0,0,0,0,0
137,62.0,Education and Schools,0,0,0,0,0,1,0,0,0,0,0,1
138,255.0,,0,0,0,0,0,1,0,0,0,0,0,0
139,23.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
140,4479.0,"Media, News and Publishing",0,0,0,0,0,1,0,0,0,0,0,1
141,360.0,Banks and Financial Services,0,0,0,0,0,1,0,0,1,0,0,0
142,6.0,,0,0,0,0,0,0,0,0,0,0,0,0
143,370.0,,0,0,0,0,0,1,0,0,0,0,0,0
144,248.0,Energy and Utilities,0,0,0,0,0,1,0,0,0,0,0,1
145,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
146,110.0,,0,0,0,0,0,1,0,0,0,0,0,0
147,3348.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0
148,248.0,Energy and Utilities,0,0,0,0,0,1,0,0,0,0,0,1
149,31970.0,Telecommunications,0,0,0,0,0,0,0,0,0,0,0,1
150,3094.0,Telecommunications,0,0,0,0,0,1,0,0,0,0,0,1
151,816.0,Health Care,0,0,0,0,0,0,0,0,0,1,0,0
152,1568.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0
153,3532.0,Banks and Financial Services,0,0,0,0,0,1,0,0,1,0,0,0
154,7197.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
155,1086.0,Health Care,0,0,0,0,0,0,0,0,0,1,0,0
