Job_Title,Queried_Salary,Job_Type,Skill,No_of_Skills,Company,No_of_Reviews,No_of_Stars,Location,Company_Revenue,Company_Employees,Company_Industry,python,sql,machine learning,r,hadoop,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SPSS', 'Data Analysis', 'Statistical Software', 'Data Mining', 'SAS', 'Python']",8,The University of Pittsburgh,541,4,PA,Missing,missing,Education and Schools,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SPSS', 'Data Analysis', 'Statistical Software', 'Data Mining', 'SAS', 'Python']",8,The University of Pittsburgh,541,4,PA,Missing,missing,Education and Schools,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Data Scientist,<80000,data_scientist,"['Machine Learning', 'Analysis Skills', 'Data Science']",3,Rice University,150,4,TX,Less than $1B (USD),"Less than 10,000",Education and Schools,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Jr. Data Scientist - Machine Learning,<80000,data_scientist,"['Machine Learning', 'Python']",2,Elev8 Hire Solutions,0,0,GA,Missing,missing,Not Listed,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Data Scientist,<80000,data_scientist,"['TensorFlow', 'Project Planning', 'Linux', 'Machine Learning', 'C/C++', 'Python', 'Jira']",7,Catalina Marketing,81,3,GA,Less than $1B (USD),"Less than 10,000",Consulting and Business Services,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Enrollment Data Scientist & Econometrician,<80000,data_scientist,"['Machine Learning', 'R', 'Statisical Analysis', 'SPSS', 'Statistical Software', 'Data Mining', 'Scala', 'Tableau', 'Java', '""Drivers License""', 'Python']",11,Florida Polytechnic University,16,4,FL,Missing,"Less than 10,000",Education and Schools,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Junior Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SQL', 'Analysis Skills', 'Python', 'Data Science']",6,Achievement Network (ANet),0,0,MA,Missing,missing,Not Listed,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,<80000,data_scientist,"['Microsoft SQL Server', 'Data Mining', 'Machine Learning', 'Visual Basic', 'R', 'SAS', 'SQL', 'Excel', 'Tableau', 'Microsoft Access', 'SPSS', 'Python']",12,Deloitte,7197,4,VA,Missing,"10,000+",Consulting and Business Services,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Data Analytics and Machine Learning Specialist,<80000,data_scientist,['Machine Learning'],1,ExxonMobil,2234,4,NJ,More than $10B (USD),"10,000+",Energy and Utilities,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Postdoctoral Associate/Data Scientist, Laboratory for Multis...",<80000,data_scientist,"['LMRT', 'Machine Learning']",2,MIT,278,4,MA,Missing,missing,Education and Schools,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
innovationOchsner (iO) - Data Scientist - Benson Tower,<80000,data_scientist,"['AI', 'Data Mining', 'Machine Learning', 'R', 'Natural Language Processing', 'Data Science', 'Python']",7,Ochsner Health System,1299,4,LA,Missing,"10,000+",Health Care,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Statistician/Data Scientist,<80000,data_scientist,"['IIS', 'TS/SCI Clearance']",2,Raytheon,3166,4,MO,More than $10B (USD),"10,000+",Aerospace and Defense,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Statistician / Data Scientist,<80000,data_scientist,"['IIS', 'TS/SCI Clearance']",2,Raytheon,3166,4,MO,More than $10B (USD),"10,000+",Aerospace and Defense,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Environmental Data Scientist, Bureau of Environmental Survei...",<80000,data_scientist,"['Statistical Software', 'SAS', 'SQL', 'Tableau']",4,NYC Careers,265,4,NY,Missing,missing,Government,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Environmental Data Manager/Data Scientist (Associate Level),<80000,data_scientist,"['Microsoft SQL Server', 'Data Management', 'Power BI', 'CAD Software', 'SQL', 'Microsoft Access', 'SharePoint', 'ArcGIS']",8,ERM Group,86,3,GA,Missing,missing,Consulting and Business Services,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Sr. Data Scientist - Secret,<80000,data_scientist,"['Data Mining', 'R', 'Python']",3,Deloitte,7197,4,VA,Missing,"10,000+",Consulting and Business Services,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
innovation Ochsner - iO - Data Scientist - Benson Tower,<80000,data_scientist,"['AI', 'Data Mining', 'Machine Learning', 'R', 'Natural Language Processing', 'Data Science', 'Python']",7,Ochsner Health System,1299,4,LA,Missing,"10,000+",Health Care,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,,0,Google,2641,4,NY,More than $10B (USD),"10,000+",Internet and Software,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,,0,Google,2641,4,MA,More than $10B (USD),"10,000+",Internet and Software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Data Analysis & Machine Learning Postdoctoral Researcher,<80000,data_scientist,"['TensorFlow', 'Machine Learning', 'Git', 'Python', 'SVN']",5,Lawrence Livermore National Laboratory,111,4,CA,$1B to $5B (USD),"Less than 10,000",Government,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Applied Machine Learning Scientist - Digital Imaging,<80000,data_scientist,"['TensorFlow', 'JavaScript', 'React', 'Data Mining', 'Adobe Photoshop', 'Machine Learning', 'CSS', 'HTML5']",8,Adobe,484,4,CA,$5B to $10B (USD),"10,000+",Internet and Software,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Machine Learning Scientist,<80000,data_scientist,"['TensorFlow', 'Machine Learning', 'R', 'Python', 'C/C++', 'SQL']",6,Intuitive Surgical,95,4,GA,Missing,missing,Not Listed,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
